label,pValue,is.significant,is.na,perf.xval
id,0.88260434893739,FALSE,0,0.997372036153032
var1,0.548506239502687,FALSE,0.747609282818027,0.998308442013743
var2,0.276158554310774,FALSE,0.990178316643108,0.999099099099099
var3,0.170075350301657,FALSE,0.873851095316783,0.997650229085884
var4,3.40864589369786e-42,TRUE,0.0449098683584737,0.997449966155765
var5,0.0885305524394945,FALSE,0.920043976366021,0.996901360292297
var6,0.085588843484428,FALSE,0.940605360780957,0.996424603179535
var7,0.125942634386712,FALSE,0.00189354976430172,0.997369266667564
var8,0.000539506709001721,TRUE,0.0164911372580249,0.997336967931133
var9,3.17557615606045e-05,TRUE,0.272496410882602,0.996998868874591
var10,7.13617818572209e-25,TRUE,0,0.997372036192179
var11,3.77159441014027e-66,TRUE,0,0.997372036016019
var12,3.37413946432419e-20,TRUE,0.785385158197677,0.998134388703544
var13,5.82700696414572e-38,TRUE,0,0.997372035996446
var14,6.34046683900742e-06,TRUE,0.642537179716897,0.99792072774505
var15,5.64035811999259e-05,TRUE,0.218678452686695,0.997100833472707
var16,0.06149434498342,FALSE,0.8000977744154,0.998140934844193
var17,0.00862474528938603,TRUE,0,0.997372036427058
dummy,1.52444442658882e-15,TRUE,0,0.997372035800713
crimeVar1,0.0660956896466156,FALSE,0.243303447986002,0.997360212765599
crimeVar2,0.041134821801369,TRUE,0.253401642698662,0.997363025469026
crimeVar3,0.995885352400464,FALSE,0.243303447986002,0.997360212731416
crimeVar4,0.00129233254226833,TRUE,0.249519423263675,0.997358980772627
crimeVar5,0.912832211604484,FALSE,0.244778912580382,0.997357984678452
crimeVar6,0.287525504510177,FALSE,0.243303447986002,0.997360211979373
crimeVar7,0.00355397384207759,TRUE,0.259617617976335,0.997361800126901
crimeVar8,0.645722382234032,FALSE,0.243303447986002,0.997360212663048
crimeVar9,0.125047613609345,FALSE,0.243303447986002,0.997360212594681
geodemVar1,0.482212552936381,FALSE,0.00441533332890915,0.997371490572342
geodemVar2,0.19157168623219,FALSE,0.00441533332890915,0.997371491066025
geodemVar3,0.962178538930256,FALSE,0.00441533332890915,0.997371490868552
geodemVar4,0.139373297593315,FALSE,0.00441533332890915,0.997371490868551
geodemVar5,0.549041443494897,FALSE,0.00441533332890915,0.997371491085772
geodemVar6,0.456200274484394,FALSE,0.00441533332890915,0.997371491006783
geodemVar7,0.144965144057949,FALSE,0.00441533332890915,0.997371490750068
geodemVar8,0.233229187682451,FALSE,0.00441533332890915,0.997371491085772
geodemVar9,0.0353049284357423,TRUE,0.00441533332890915,0.997371491164761
geodemVar10,0.393959350584896,FALSE,0.00441533332890915,0.997371490552595
geodemVar11,0.334952282714965,FALSE,0.00441533332890915,0.997371490631584
geodemVar12,0.220742251038781,FALSE,0.00441533332890915,0.997371491105519
geodemVar13,0.15481882444585,FALSE,0.00441533332890915,0.99737149073032
geodemVar14,0.688455505752169,FALSE,0.00441533332890915,0.997371490888299
geodemVar15,0.259490775428256,FALSE,0.00441533332890915,0.997371490532847
geodemVar16,0.718391389651444,FALSE,0.00441533332890915,0.997371490256385
geodemVar17,0.221621246289805,FALSE,0.00441533332890915,0.997371490908046
geodemVar18,0.55386649365209,FALSE,0.00441533332890915,0.997371490947541
geodemVar19,0.0879961351860202,FALSE,0.00441533332890915,0.997371490355122
geodemVar20,0.339873950851678,FALSE,0.00441533332890915,0.997371490631584
geodemVar21,0.469102740871476,FALSE,0.00441533332890915,0.997371491184508
geodemVar22,0.447150454413516,FALSE,0.00441533332890915,0.99737149080931
geodemVar23,0.934513840114139,FALSE,0.00441533332890915,0.99737149080931
geodemVar24,0.115952245824398,FALSE,0.00441533332890915,0.997371490671079
geodemVar25,0.244392045324285,FALSE,0.00441533332890915,0.997371491085772
geodemVar26,0.277892205431652,FALSE,0.00441533332890915,0.997371490434111
geodemVar27,0.44277593814995,FALSE,0.00441533332890915,0.997371490651331
geodemVar28,0.386311232549283,FALSE,0.00441533332890915,0.997371491184508
geodemVar29,0.00326384944007582,TRUE,0.00441533332890915,0.997371490611837
geodemVar30,0.131422907176422,FALSE,0.00441533332890915,0.997371490908046
geodemVar31,0.000766963707767162,TRUE,0.00441533332890915,0.997371491006783
geodemVar32,0.280933998956174,FALSE,0.00441533332890915,0.99737149146097
geodemVar33,0.444832297665431,FALSE,0.00441533332890915,0.99737149080931
geodemVar34,0.168941278265625,FALSE,0.00441533332890915,0.997371490651331
geodemVar35,0.442486516763626,FALSE,0.00441533332890915,0.997371490888299
geodemVar36,0.595147423650854,FALSE,0.00441533332890915,0.997371490671079
geodemVar37,0.0129335313826627,TRUE,0.004413121238063,0.997371496595267
weatherVar1,0.408671673905067,FALSE,0.00411448897383318,0.997367841924593
weatherVar2,0.769440285585722,FALSE,0.00411448897383318,0.997367842871891
weatherVar3,8.31289863730165e-06,TRUE,0.00411448897383318,0.997367842240359
weatherVar4,0.559382673674197,FALSE,0.00458345223321631,0.997368824551474
weatherVar5,0.895729282887116,FALSE,0.00411448897383318,0.997367842102212
weatherVar6,0.00163299106567067,TRUE,0.00758083532974532,0.997367564661694
weatherVar7,3.95463395375831e-06,TRUE,0.00411448897383318,0.997367842358771
weatherVar8,0.944207303695545,FALSE,0.00411448897383318,0.997367842260095
weatherVar9,0.392285312949837,FALSE,0.00411448897383318,0.997367842299565
weatherVar10,0.564261492858701,FALSE,0.00411448897383318,0.997367842358771
weatherVar11,0.526022685386839,FALSE,0.00411448897383318,0.997367843029774
weatherVar12,0.948480565001684,FALSE,0.00411448897383318,0.99736784253639
weatherVar13,0.00224843030897965,TRUE,0.00411448897383318,0.99736784202327
weatherVar14,2.16516538147081e-06,TRUE,0.00411448897383318,0.997367842852156
weatherVar15,5.08175952371098e-05,TRUE,0.00411448897383318,0.997367842792949
weatherVar16,0.825442143162746,FALSE,0.00411448897383318,0.997367842200888
weatherVar17,0.0955124612408312,FALSE,0.00458345223321631,0.997368823958855
weatherVar18,0.862822116099599,FALSE,0.00411448897383318,0.997367842457448
weatherVar19,0.000331769925338059,TRUE,0.00758083532974532,0.997367564184729
weatherVar20,0.308624484507071,FALSE,0.00411448897383318,0.997367842141682
weatherVar21,0.794521043665051,FALSE,0.00411448897383318,0.997367842260095
weatherVar22,0.0253610840842836,TRUE,0.00411448897383318,0.99736784253639
weatherVar23,0.00754218982566661,TRUE,0.00411448897383318,0.997367842299565
weatherVar24,0.259889594785896,FALSE,0.00411448897383318,0.997367842141682
weatherVar25,4.647377217842e-06,TRUE,0.00411448897383318,0.997367841983799
weatherVar26,0.551494114207377,FALSE,0.00411448897383318,0.997367841904858
weatherVar27,0.670669551039164,FALSE,0.00411448897383318,0.997367842378507
weatherVar28,0.00737270380452185,TRUE,0.00411448897383318,0.997367842398242
weatherVar29,0.108922940429802,FALSE,0.00411448897383318,0.997367842812685
weatherVar30,0.126163481858727,FALSE,0.00411448897383318,0.997367842121947
weatherVar31,5.20396891419696e-08,TRUE,0.00411448897383318,0.997367842516654
weatherVar32,8.20371632323267e-07,TRUE,0.00411448897383318,0.997367842417977
weatherVar33,0.8240341700634,FALSE,0.00411448897383318,0.997367842398242
weatherVar34,0.145971502414218,FALSE,0.00411448897383318,0.997367842516654
weatherVar35,0.946925257034713,FALSE,0.00411448897383318,0.99736784257586
weatherVar36,0.243013148790844,FALSE,0.00411448897383318,0.997367842378507
weatherVar37,4.561373161537e-06,TRUE,0.00411448897383318,0.997367842043006
weatherVar38,0.12422250040864,FALSE,0.00411448897383318,0.99736784227983
weatherVar39,0.7891575715675,FALSE,0.00411448897383318,0.997367842753479
weatherVar40,2.91540425448353e-06,TRUE,0.00411448897383318,0.997367842200888
weatherVar41,0.477927307284473,FALSE,0.00570719438305892,0.997372524839923
weatherVar42,0.0577143789570775,FALSE,0.00411448897383318,0.997367842516654
weatherVar43,0.478445797965506,FALSE,0.00834400667166599,0.997370000101374
weatherVar44,1.31119982673934e-06,TRUE,0.00411448897383318,0.997367842102212
weatherVar45,0.649344468338924,FALSE,0.00411448897383318,0.997367842358771
weatherVar46,0.367291143189665,FALSE,0.00411448897383318,0.997367842141682
weatherVar47,0.0234595215542261,TRUE,0.00411448897383318,0.997367842595596
weatherVar48,0.131952001588534,FALSE,0.00411448897383318,0.997367842635067
weatherVar49,0.0829601539896356,FALSE,0.00411448897383318,0.997367841904858
weatherVar50,0.593449763857324,FALSE,0.00411448897383318,0.997367842319301
weatherVar51,8.33368312930534e-07,TRUE,0.00411448897383318,0.997367841964064
weatherVar52,1.62392301655882e-05,TRUE,0.00411448897383318,0.997367842121947
weatherVar53,0.149711051207586,FALSE,0.00411448897383318,0.99736784172724
weatherVar54,0.915893289309062,FALSE,0.00570719438305892,0.997372524760729
weatherVar55,0.0561906345735823,FALSE,0.00411448897383318,0.997367842299565
weatherVar56,0.892716246623247,FALSE,0.00834400667166599,0.997370000200894
weatherVar57,0.00783910497920604,TRUE,0.00411448897383318,0.997367842102212
weatherVar58,0.234458454747944,FALSE,0.00411448897383318,0.997367842753479
weatherVar59,0.611186430048871,FALSE,0.00411448897383318,0.997367842477184
weatherVar60,0.117268139938978,FALSE,0.00411448897383318,0.997367842378507
weatherVar61,0.040286634965409,TRUE,0.00411448897383318,0.997367842319301
weatherVar62,0.0124991028934714,TRUE,0.00411448897383318,0.997367841707504
weatherVar63,0.362751252966792,FALSE,0.00411448897383318,0.997367842220624
weatherVar64,0.71688072604323,FALSE,0.00411448897383318,0.997367842674537
weatherVar65,0.121753646490398,FALSE,0.00411448897383318,0.997367842398242
weatherVar66,0.998584835143644,FALSE,0.00411448897383318,0.997367842477184
weatherVar67,0.671044482475488,FALSE,0.00411448897383318,0.99736784257586
weatherVar68,0.000121426546932868,TRUE,0.00411448897383318,0.997367842220624
weatherVar69,3.33536346418654e-07,TRUE,0.00411448897383318,0.997367842595596
weatherVar70,0.871732186584003,FALSE,0.00411448897383318,0.997367841944329
weatherVar71,0.0611281918472701,FALSE,0.00411448897383318,0.997367843049509
weatherVar72,0.236269688973862,FALSE,0.00411448897383318,0.99736784253639
weatherVar73,0.160038155729456,FALSE,0.00411448897383318,0.997367842615331
weatherVar74,0.0125896930373378,TRUE,0.00411448897383318,0.997367842437713
weatherVar75,0.0599506330819951,FALSE,0.00411448897383318,0.997367842635067
weatherVar76,7.45596637248922e-06,TRUE,0.00411448897383318,0.997367841806181
weatherVar77,0.00599075908038284,TRUE,0.00513205076306074,0.997369596896192
weatherVar78,0.389239011917663,FALSE,0.00411448897383318,0.997367842457448
weatherVar79,1.31606954273597e-05,TRUE,0.00843912657805031,0.997367516426161
weatherVar80,5.72835226618451e-06,TRUE,0.00411448897383318,0.997367842556125
weatherVar81,0.222168155881279,FALSE,0.00411448897383318,0.997367842141682
weatherVar82,0.751205104044216,FALSE,0.00411448897383318,0.997367842792949
weatherVar83,0.1446437984494,FALSE,0.00411448897383318,0.997367842240359
weatherVar84,0.0105196596307467,TRUE,0.00411448897383318,0.997367842437713
weatherVar85,0.00337547098098615,TRUE,0.00411448897383318,0.997367842457448
weatherVar86,0.0275338553671645,TRUE,0.00411448897383318,0.997367842595596
weatherVar87,1.23108800367055e-06,TRUE,0.00411448897383318,0.997367842714008
weatherVar88,7.69836851688782e-05,TRUE,0.00411448897383318,0.997367842595596
weatherVar89,0.128611597863132,FALSE,0.00411448897383318,0.997367842358771
weatherVar90,0.00735310593622617,TRUE,0.00513205076306074,0.997369597548792
weatherVar91,0.400829217308678,FALSE,0.00411448897383318,0.997367842398242
weatherVar92,0.000341721401243521,TRUE,0.00843912657805031,0.997367517003493
weatherVar93,0.234711041433112,FALSE,0.00411448897383318,0.997367841865387
weatherVar94,0.473522175805205,FALSE,0.00411448897383318,0.997367842457448
weatherVar95,0.0430658528919719,TRUE,0.00411448897383318,0.997367842319301
weatherVar96,0.000930073666096487,TRUE,0.00411448897383318,0.997367842496919
weatherVar97,0.156120767345303,FALSE,0.00411448897383318,0.997367842398242
weatherVar98,2.16102576622036e-07,TRUE,0.00411448897383318,0.997367842161418
weatherVar99,0.716813545603078,FALSE,0.00411448897383318,0.997367842200888
weatherVar100,0.835082533965192,FALSE,0.00411448897383318,0.997367841964064
weatherVar101,0.000475314146215099,TRUE,0.00411448897383318,0.997367842417977
weatherVar102,0.487212616541504,FALSE,0.00411448897383318,0.99736784227983
weatherVar103,0.564874418964685,FALSE,0.00411448897383318,0.997367842062741
weatherVar104,3.88062146389587e-09,TRUE,0.00411448897383318,0.997367842358771
weatherVar105,3.57705383485342e-06,TRUE,0.00411448897383318,0.997367842477184
weatherVar106,0.341609063432104,FALSE,0.00411448897383318,0.997367842141682
weatherVar107,0.00134421221183158,TRUE,0.00411448897383318,0.99736784257586
weatherVar108,0.550395908994986,FALSE,0.00411448897383318,0.997367842200888
weatherVar109,0.0162191466631832,TRUE,0.00411448897383318,0.99736784257586
weatherVar110,2.11088449613854e-07,TRUE,0.00411448897383318,0.997367842477184
weatherVar111,0.39731903407262,FALSE,0.00411448897383318,0.997367842398242
weatherVar112,0.00758759103271438,TRUE,0.00411448897383318,0.997367842516654
weatherVar113,0.644962698465486,FALSE,0.00488208449744614,0.997368035219359
weatherVar114,0.724409111095695,FALSE,0.00411448897383318,0.997367842319301
weatherVar115,NA,NA,0.00853867066612692,0.997369483606446
weatherVar116,0.00886509550114749,TRUE,0.00411448897383318,0.997367842102212
weatherVar117,0.140664096058305,FALSE,0.00411448897383318,0.997367842437713
weatherVar118,0.053409983474323,FALSE,0.00411448897383318,0.997367842339036
weatherVar119,0.510248729414087,FALSE,0.00411448897383318,0.997367842398242
weatherVar120,0.568072557063104,FALSE,0.00411448897383318,0.997367842595596
weatherVar121,0.857597621581773,FALSE,0.00411448897383318,0.997367841944329
weatherVar122,0.0204915010150841,TRUE,0.00411448897383318,0.997367842694273
weatherVar123,0.00540233730685822,TRUE,0.00411448897383318,0.997367842082476
weatherVar124,0.807867920206184,FALSE,0.00411448897383318,0.997367842299565
weatherVar125,0.63364048932485,FALSE,0.00488208449744614,0.997368034962402
weatherVar126,0.793382791001237,FALSE,0.00411448897383318,0.997367842121947
weatherVar127,0.670048935208698,FALSE,0.00411448897383318,0.997367842398242
weatherVar128,0.456014695080571,FALSE,0.00411448897383318,0.997367842319301
weatherVar129,0.657621287119343,FALSE,0.00411448897383318,0.997367841450945
weatherVar130,0.00471306197548636,TRUE,0.00411448897383318,0.997367842181153
weatherVar131,0.247675240471303,FALSE,0.00411448897383318,0.997367842358771
weatherVar132,0.638826364894315,FALSE,0.00411448897383318,0.997367842773214
weatherVar133,0.139119097504002,FALSE,0.00411448897383318,0.997367842398242
weatherVar134,0.729378978565066,FALSE,0.00411448897383318,0.997367841786446
weatherVar135,0.00461252805688712,TRUE,0.00411448897383318,0.997367842496919
weatherVar136,0.0478314833295991,TRUE,0.00411448897383318,0.997367842358771
weatherVar137,0.188531396203939,FALSE,0.00411448897383318,0.997367842891626
weatherVar138,0.0817037221703176,FALSE,0.00411448897383318,0.997367842260095
weatherVar139,0.00287371447041111,TRUE,0.00411448897383318,0.99736784253639
weatherVar140,0.60908909811336,FALSE,0.00411448897383318,0.99736784227983
weatherVar141,0.433249845592536,FALSE,0.00411448897383318,0.997367842931097
weatherVar142,0.583192951452704,FALSE,0.00411448897383318,0.997367842556125
weatherVar143,0.337823659082946,FALSE,0.00411448897383318,0.997367842200888
weatherVar144,0.948223535615503,FALSE,0.00411448897383318,0.997367842043006
weatherVar145,0.394646918522202,FALSE,0.00411448897383318,0.997367841707504
weatherVar146,1.88518146679449e-05,TRUE,0.00411448897383318,0.997367842378507
weatherVar147,0.574190453368555,FALSE,0.0050546275834456,0.997367578527978
weatherVar148,0.249414717818955,FALSE,0.00411448897383318,0.997367842339036
weatherVar149,0.816518499800399,FALSE,0.00809625249689754,0.997370657391356
weatherVar150,9.08027635706086e-06,TRUE,0.00411448897383318,0.99736784257586
weatherVar151,0.409643466238235,FALSE,0.00411448897383318,0.997367842595596
weatherVar152,0.399044210243529,FALSE,0.00411448897383318,0.997367842437713
weatherVar153,0.0838860168237405,FALSE,0.00411448897383318,0.997367842102212
weatherVar154,0.953143523994598,FALSE,0.00411448897383318,0.997367842319301
weatherVar155,0.176694662998996,FALSE,0.00411448897383318,0.99736784227983
weatherVar156,0.000472294744230408,TRUE,0.00411448897383318,0.997367842121947
weatherVar157,5.60883471973303e-06,TRUE,0.00411448897383318,0.997367842043006
weatherVar158,0.000163035767758808,TRUE,0.00411448897383318,0.997367842398242
weatherVar159,0.38467616064914,FALSE,0.00411448897383318,0.997367842398242
weatherVar160,0.364241045249947,FALSE,0.0050546275834456,0.997367578527978
weatherVar161,0.240192398022185,FALSE,0.00411448897383318,0.997367841825917
weatherVar162,0.960831603301665,FALSE,0.00809625249689754,0.997370657232203
weatherVar163,0.00503616444912086,TRUE,0.00411448897383318,0.997367842378507
weatherVar164,0.217950218749706,FALSE,0.00411448897383318,0.997367842260095
weatherVar165,0.172864735828775,FALSE,0.00411448897383318,0.997367842220624
weatherVar166,0.0316236397092703,TRUE,0.00411448897383318,0.997367842339036
weatherVar167,0.45459730386842,FALSE,0.00411448897383318,0.997367842792949
weatherVar168,0.207690867422165,FALSE,0.00411448897383318,0.997367842556125
weatherVar169,0.838498189033302,FALSE,0.00411448897383318,0.997367842773214
weatherVar170,0.636586811427574,FALSE,0.00411448897383318,0.997367841825917
weatherVar171,0.0312405011555701,TRUE,0.00411448897383318,0.997367843029774
weatherVar172,0.0731583427611282,FALSE,0.00411448897383318,0.997367842141682
weatherVar173,0.0540941976925791,FALSE,0.00411448897383318,0.997367842161418
weatherVar174,0.0324216601420206,TRUE,0.00411448897383318,0.997367842339036
weatherVar175,2.32758419281371e-06,TRUE,0.00411448897383318,0.997367841806181
weatherVar176,0.134514557244314,FALSE,0.00411448897383318,0.99736784227983
weatherVar177,0.0201839682050224,TRUE,0.00411448897383318,0.997367841865387
weatherVar178,0.74373049887266,FALSE,0.00411448897383318,0.997367842398242
weatherVar179,0.0832990445625642,FALSE,0.00411448897383318,0.997367842358771
weatherVar180,0.200916932126255,FALSE,0.00411448897383318,0.997367842714008
weatherVar181,0.218905824703733,FALSE,0.026764087147531,0.997342952852115
weatherVar182,2.80732661782024e-06,TRUE,0.026764087147531,0.997342951984197
weatherVar183,3.47428759101152e-05,TRUE,0.026764087147531,0.997342952314832
weatherVar184,0.837736039797713,FALSE,0.026764087147531,0.997342952149515
weatherVar185,0.0232817049250625,TRUE,0.026764087147531,0.997342952831451
weatherVar186,0.537329675783075,FALSE,0.026764087147531,0.99734295212885
weatherVar187,0.943725178804278,FALSE,0.026764087147531,0.997342952273503
weatherVar188,0.175038049152926,FALSE,0.026764087147531,0.997342952645468
weatherVar189,4.82063330619021e-06,TRUE,0.026764087147531,0.997342952645468
weatherVar190,3.62369049729689e-07,TRUE,0.026764087147531,0.99734295248015
weatherVar191,6.5713205349435e-06,TRUE,0.026764087147531,0.997342952397491
weatherVar192,7.17356417909418e-05,TRUE,0.026764087147531,0.99734295173622
weatherVar193,1.81263445034662e-07,TRUE,0.026764087147531,0.997342951860208
weatherVar194,6.13175044301496e-07,TRUE,0.026764087147531,0.99734295322408
weatherVar195,0.000194627245019699,TRUE,0.026764087147531,0.997342952046191
weatherVar196,1.40655489025041e-05,TRUE,0.026764087147531,0.997342951612232
weatherVar197,0.000109425887830854,TRUE,0.026764087147531,0.997342952376827
weatherVar198,0.000750288260620479,TRUE,0.026764087147531,0.997342952046191
weatherVar199,0.96996010196943,FALSE,0.0428835931434032,0.997362917150159
weatherVar200,0.00569814495777666,TRUE,0.0428835931434032,0.997362916936492
weatherVar201,0.542413175767744,FALSE,0.0428835931434032,0.997362916744191
weatherVar202,0.842869251608406,FALSE,0.0428835931434032,0.997362916445057
weatherVar203,0.222343342566633,FALSE,0.0428835931434032,0.997362917256993
weatherVar204,0.0469667356424965,TRUE,0.0428835931434032,0.997362916573257
weatherVar205,0.7954370195377,FALSE,0.0428835931434032,0.997362916594624
weatherVar206,0.180545239516079,FALSE,0.0428835931434032,0.997362916274123
weatherVar207,0.112734218156168,FALSE,0.0428835931434032,0.997362916680091
weatherVar208,0.999483975322883,FALSE,0.0428835931434032,0.997362917192893
weatherVar209,0.00255530328772911,TRUE,0.0716120169623126,0.997402832580393
weatherVar210,0.547933509334376,FALSE,0.0716120169623126,0.997402832580393
weatherVar211,0.0397142897979328,TRUE,0.0716120169623126,0.997402832580393
weatherVar212,0.969242479715149,FALSE,0.0716120169623126,0.997402832580393
weatherVar213,0.0935206611881922,FALSE,0.0716120169623126,0.997402832580393
weatherVar214,0.414767315723209,FALSE,0.0716120169623126,0.997402832580393
weatherVar215,0.0488280696628455,TRUE,0.0716120169623126,0.997402832580393
weatherVar216,0.0631121190995222,FALSE,0.0716120169623126,0.997402832580393
weatherVar217,0.00134004619160547,TRUE,0.0716120169623126,0.997402832580393
weatherVar218,0.0195853916347566,TRUE,0.0716120169623126,0.997402832580393
weatherVar219,0.107775430986277,FALSE,0.0716120169623126,0.997402832580393
weatherVar220,0.407817263812985,FALSE,0.0716120169623126,0.997402832580393
weatherVar221,0.181822103102525,FALSE,0.0716120169623126,0.997402832580393
weatherVar222,0.102254138503397,FALSE,0.0716120169623126,0.997402832580393
weatherVar223,0.381282910287498,FALSE,0.0716120169623126,0.997402832580393
weatherVar224,0.304609107498369,FALSE,0.0716120169623126,0.997402832580393
weatherVar225,0.0373569035744623,TRUE,0.0716120169623126,0.997402832580393
weatherVar226,0.822628268947223,FALSE,0.0716120169623126,0.997402832580393
weatherVar227,0.00174255388418487,TRUE,0.0428150183271727,0.997393148753049
weatherVar228,0.602217366506064,FALSE,0.0428150183271727,0.997393149265775
weatherVar229,0.614484965042782,FALSE,0.0428150183271727,0.997393149415321
weatherVar230,0.574695730621208,FALSE,0.0428150183271727,0.99739314935123
weatherVar231,0.4853389264767,FALSE,0.0428150183271727,0.997393150248501
weatherVar232,0.884368851002184,FALSE,0.0428150183271727,0.997393148496686
weatherVar233,0.151142374542147,FALSE,0.0428150183271727,0.997393148902595
weatherVar234,0.528064222223776,FALSE,0.0428150183271727,0.997393149885319
weatherVar235,0.0428649081304606,TRUE,0.0428150183271727,0.99739314911623
weatherVar236,0.134204306295688,FALSE,0.0428150183271727,0.997393148859867
var4_4,4.45808120098517e-39,TRUE,0.0449098683584737,0.997449966563458
