fomula,perf
target ~ var10:var13 + var13,0.234188850460779
target ~ var13:geodemVar24 + var13:weatherVar47 + var8:var13 + I(var13^2) + I(var13^3) + I(var13^4),0.270493566222552
target ~ var13:geodemVar37 + I(var13^5),0.229622600021103
target ~ var10 + var4 + I(var10^2),0.239193248348521
target ~ I(var10^3) + I(var10^4),0.170762753704571
target ~ I(var10^5) + var4_4 + var8:var10,0.226636557313003
target ~ var8:geodemVar24 + var10:geodemVar24 + geodemVar13:weatherVar118,0.225499667824085
target ~ geodemVar17:weatherVar118,0.00920736162026516
target ~ geodemVar11:weatherVar118,0.0066363622444234
target ~ geodemVar20:weatherVar118 + var15:weatherVar118,0.0714789537523403
target ~ geodemVar26:weatherVar118 + geodemVar8:weatherVar118 + var8:weatherVar47 + var8 + dummy,0.189189211693874
target ~ weatherVar118:weatherVar227 + var11:var13 + var13:weatherVar227 + I(var8^2) + var15:weatherVar227,0.211213863069044
target ~ I(var16^5) + var13:var16 + I(var16^4) + geodemVar37:weatherVar118 + I(var16^3),-0.0327442670232042
target ~ I(var16^2) + var15:geodemVar37,-0.00258830349121265
target ~ var10:var16 + var15:weatherVar235 + I(var8^3),-0.00217169612278873
target ~ var16:geodemVar24 + var16 + weatherVar118 + geodemVar24:weatherVar118,-0.0330262707036313
target ~ var16:weatherVar47,-0.0374338257100144
target ~ var10:weatherVar47,0.121408017292499
target ~ var8:var16 + var15,0.00219624993045799
target ~ var16:geodemVar37 + var8:geodemVar37 + I(weatherVar102^5) + var10:weatherVar118 + I(weatherVar103^5),-0.0240465740230189
target ~ I(weatherVar102^2),0.0207115071574673
target ~ weatherVar102:weatherVar103 + I(weatherVar102^4),0.040194436333005
target ~ I(weatherVar103^2),0.0207414945376498
target ~ I(weatherVar102^3),0.0222855596209799
target ~ I(weatherVar103^4) + I(weatherVar103^3),0.028369110271193
target ~ weatherVar47:weatherVar118,0.0107065550665432
target ~ I(weatherVar118^2) + geodemVar24:weatherVar102 + weatherVar102,0.0386830549726518
target ~ var11:weatherVar102,0.0270100779456312
target ~ var10:weatherVar102 + var15:geodemVar24 + I(var8^4) + weatherVar103 + var8:weatherVar118 + var15:weatherVar102,0.171386027649539
target ~ var11:weatherVar103 + var10:var15,0.130862602152353
target ~ var10:weatherVar103 + geodemVar37:weatherVar227,0.0706391853240456
target ~ geodemVar24:weatherVar103 + weatherVar118:weatherVar235 + var8:var11 + var15:weatherVar103 + var15:geodemVar20,0.162299320642544
target ~ I(weatherVar47^5) + var15:geodemVar13 + var15:geodemVar8,0.129382325350351
target ~ I(weatherVar47^4) + var15:geodemVar17 + var13:weatherVar235 + var15:geodemVar11 + var15:geodemVar26 + I(weatherVar47^3) + geodemVar24:weatherVar47 + I(var8^5),0.184174470583828
target ~ var3,-0.0028044969984581
target ~ weatherVar102:weatherVar227 + weatherVar103:weatherVar227 + geodemVar20:weatherVar235 + I(weatherVar227^2),0.0853046559070356
target ~ I(weatherVar47^2),0.0651738092742101
target ~ geodemVar37:weatherVar235 + weatherVar47:weatherVar102 + geodemVar13:weatherVar235,0.0790254325266732
target ~ geodemVar37:weatherVar102 + weatherVar227,0.0745765832420029
target ~ weatherVar47:weatherVar103 + geodemVar11:weatherVar235 + geodemVar20:weatherVar227,0.0848929874798005
target ~ geodemVar8:weatherVar235,0.050767272903457
target ~ geodemVar26:weatherVar235 + geodemVar37:weatherVar103 + geodemVar24:weatherVar227,0.0844578976910551
target ~ I(weatherVar227^3) + geodemVar17:weatherVar235 + I(weatherVar68^4),0.0504790536703874
target ~ weatherVar227:weatherVar235,0.039124181134831
target ~ I(weatherVar68^3) + geodemVar8:weatherVar227,0.0710576884807591
target ~ geodemVar13:weatherVar227,0.0623317971833947
target ~ geodemVar11:weatherVar227,0.0599267598380191
target ~ weatherVar235,0.0452356304989441
target ~ var16:weatherVar227,-0.0553834661551852
target ~ geodemVar37 + geodemVar26:weatherVar227 + I(weatherVar118^3),0.0372951486315566
target ~ geodemVar17:weatherVar227,0.0560825178420446
target ~ geodemVar20:geodemVar37 + I(weatherVar227^4) + geodemVar24:weatherVar235,0.0286701555974236
target ~ I(weatherVar235^2) + I(weatherVar153^5) + weatherVar47 + var15:weatherVar47,0.129441147329227
target ~ I(weatherVar60^5) + var13:var15 + var11:weatherVar47 + var10:var11,0.132991412805832
target ~ I(weatherVar65^5) + I(weatherVar235^3) + I(weatherVar68^5),0.0450797531054857
target ~ I(weatherVar235^4) + I(weatherVar10^5),0.0577231515608879
target ~ I(geodemVar37^2) + geodemVar13:geodemVar37 + I(weatherVar235^5) + I(weatherVar153^4),0.0459599220682134
target ~ I(weatherVar227^5) + I(geodemVar5^4),0.0522354962421642
target ~ geodemVar17:geodemVar37 + I(geodemVar5^5) + I(var15^2) + I(geodemVar24^5) + I(geodemVar24^4),0.138157334850119
target ~ I(geodemVar24^3) + I(geodemVar24^2) + I(geodemVar20^2) + var11:geodemVar24 + geodemVar8:geodemVar37 + geodemVar24,0.0982467169825196
target ~ I(weatherVar10^4) + geodemVar26:geodemVar37 + geodemVar17:geodemVar20,0.0651783407747937
target ~ geodemVar8:geodemVar20,0.0292361121232994
target ~ I(geodemVar5^3) + geodemVar20,0.0176619100078054
target ~ geodemVar13:geodemVar20 + geodemVar13,0.0443328250133651
target ~ var8:weatherVar102 + I(geodemVar17^2),0.079420800681859
target ~ geodemVar8:geodemVar17,0.0339099558675546
target ~ geodemVar20:geodemVar26 + I(geodemVar8^2),0.0179767846077278
target ~ geodemVar11:geodemVar37,0.0347197306950104
target ~ geodemVar13:geodemVar17,0.0427659308224545
target ~ I(geodemVar20^3),0.0257976497857164
target ~ geodemVar8:geodemVar13,0.0408680347541523
target ~ geodemVar11:geodemVar20 + geodemVar17:geodemVar26,0.0517965834861487
target ~ geodemVar8:geodemVar11,0.0341100287174182
target ~ geodemVar11:geodemVar17 + I(weatherVar153^3),0.0626088239709241
target ~ geodemVar8:geodemVar26 + geodemVar11:geodemVar13,0.0558037203056279
target ~ var13:weatherVar102 + geodemVar13:geodemVar26 + geodemVar17,0.0728528367181459
target ~ I(geodemVar17^3),0.0338648287763173
target ~ I(geodemVar26^2),0.0325472777970852
target ~ geodemVar8,0.0372975572874418
target ~ I(geodemVar11^2),0.0320530834894877
target ~ geodemVar11:geodemVar26,0.0311902688997793
target ~ I(geodemVar10^2),0.0282480599058405
target ~ I(geodemVar8^3) + weatherVar102:weatherVar235,0.0725890869000506
target ~ var10:weatherVar235 + weatherVar103:weatherVar235,0.0591358047267231
target ~ I(geodemVar13^2) + I(weatherVar188^4),0.0521347511490468
target ~ I(geodemVar20^4) + var8:weatherVar103,0.0672763905501113
target ~ I(weatherVar128^5) + I(geodemVar28^3) + geodemVar26,0.0617158912106096
target ~ I(weatherVar10^3) + I(geodemVar11^3),0.0649391001817253
target ~ I(geodemVar26^3) + var11,0.0850529341913482
target ~ I(geodemVar10^3),0.0307622334545429
target ~ I(geodemVar28^2),0.0274270504921368
target ~ I(geodemVar17^4),0.0319174716250558
target ~ I(weatherVar216^2) + I(geodemVar33^2),0.0260984789508541
target ~ I(geodemVar8^4) + geodemVar13:geodemVar24,0.041278065960769
target ~ I(geodemVar33^3) + geodemVar11,0.0297062352265186
target ~ I(geodemVar37^3) + I(geodemVar28^4),0.0313766622255813
target ~ I(geodemVar20^5),0.0236816555751367
target ~ I(geodemVar27^2),0.0256015033001939
target ~ I(var14^2),-0.0483555222467148
target ~ I(geodemVar17^5),0.0301349916762617
target ~ I(geodemVar26^4),0.0339521665373323
target ~ geodemVar10,0.0338529871217375
target ~ I(geodemVar27^3),0.018658324999535
target ~ I(geodemVar11^4),0.0336125935155185
target ~ I(geodemVar21^2),0.0268987428412025
target ~ I(geodemVar10^4) + I(weatherVar68^2),0.0409577705610306
target ~ I(geodemVar33^4),0.0290603058581045
target ~ I(weatherVar77^2),0.00366050634106601
target ~ I(geodemVar8^5) + I(geodemVar28^5),0.0491444072574406
target ~ I(geodemVar13^3),0.0470662200245657
target ~ I(geodemVar21^3) + var10:weatherVar227 + weatherVar104,0.0805033568821743
target ~ var14 + I(geodemVar35^2) + I(weatherVar60^4) + I(geodemVar27^4),-0.0438901103286809
target ~ I(weatherVar65^4) + I(geodemVar35^3),0.0108855243888704
target ~ I(geodemVar26^5),0.0306669726718987
target ~ geodemVar20:geodemVar24,0.0201145574147841
target ~ I(geodemVar11^5),0.0320999443621195
target ~ I(geodemVar33^5),0.0256910072798421
target ~ I(geodemVar10^5) + weatherVar61,0.0351475807095466
target ~ I(geodemVar21^4),0.0255557400043123
target ~ I(geodemVar15^2) + I(weatherVar194^4),0.0654255105032449
target ~ I(geodemVar35^4),0.0317620047272384
target ~ I(geodemVar27^5) + I(weatherVar119^5),0.0460510023445859
target ~ geodemVar15 + I(geodemVar21^5),0.0453513551697021
target ~ I(weatherVar128^4),0.0476526249312369
target ~ I(geodemVar35^5),0.0284511458753865
target ~ I(geodemVar15^3) + I(weatherVar135^2),0.052819933366775
target ~ I(geodemVar13^4) + I(weatherVar153^2),0.061115502363766
target ~ I(weatherVar150^5) + I(geodemVar15^4) + I(weatherVar130^2) + I(weatherVar194^3) + I(geodemVar15^5),0.070444073087623
target ~ I(weatherVar135^3) + I(weatherVar194^5) + I(weatherVar137^2) + I(geodemVar36^5),0.0818938651723702
target ~ geodemVar17:geodemVar24 + I(weatherVar130^3),0.0518444980609599
target ~ I(geodemVar5^2) + I(geodemVar13^5),0.0160665162766322
target ~ I(var14^3) + I(geodemVar36^4) + I(weatherVar150^4),-0.0371458937782199
target ~ I(weatherVar7^5) + geodemVar8:geodemVar24 + geodemVar21,0.0314661687792018
target ~ I(weatherVar216^3) + var10:geodemVar20,0.0178052171950771
target ~ I(crimeVar4^3),-0.00840565556614832
target ~ var13:weatherVar103 + I(weatherVar10^2),0.0585058008212563
target ~ I(geodemVar36^3),0.0434869623819868
target ~ I(crimeVar4^4) + geodemVar33 + geodemVar28,0.0013845177841377
target ~ var10:geodemVar13 + I(weatherVar203^5) + I(weatherVar188^3),0.0614158948413924
target ~ I(weatherVar203^4),0.0185019535143685
target ~ I(weatherVar203^3) + geodemVar35 + I(weatherVar119^4),0.0517055461161107
target ~ I(weatherVar44^5) + weatherVar72 + geodemVar27,0.0530730566574464
target ~ geodemVar24:geodemVar26 + I(geodemVar32^5),0.0335911133305048
target ~ I(geodemVar6^2) + I(geodemVar6^3) + I(weatherVar43^3),0.0587376581336722
target ~ I(weatherVar7^4) + I(weatherVar203^2) + I(weatherVar188^5) + geodemVar34 + I(weatherVar194^2) + I(geodemVar16^5) + I(weatherVar44^4) + I(geodemVar36^2),0.0913467717465824
target ~ I(weatherVar43^4) + I(weatherVar150^3) + I(weatherVar77^3) + I(geodemVar32^4),0.0141386226081683
target ~ var10:geodemVar17,0.0237286133353093
target ~ weatherVar220 + geodemVar11:geodemVar24,0.030662337574225
target ~ I(geodemVar6^4),0.0282667245880915
target ~ I(geodemVar16^4) + weatherVar31,0.0875608684628804
target ~ var10:geodemVar8 + I(weatherVar191^3),0.0614988007682839
target ~ I(crimeVar4^2),-0.00886071869417244
target ~ I(crimeVar4^5) + var10:geodemVar26 + I(weatherVar43^5) + geodemVar36,0.00236267951505383
target ~ weatherVar137 + weatherVar236,-0.0233831508543316
target ~ var11:var16 + I(geodemVar16^3),-0.0423393976222037
target ~ I(weatherVar44^3) + I(geodemVar6^5),0.0434355777326553
target ~ geodemVar6 + I(weatherVar48^3) + I(weatherVar7^3),0.0386702082338165
target ~ I(var14^4) + weatherVar153 + I(weatherVar28^5) + I(weatherVar48^2) + var10:geodemVar11 + I(weatherVar43^2),-0.0202493770707803
target ~ I(geodemVar4^2) + I(weatherVar128^3),0.085938370975641
target ~ I(weatherVar23^5) + I(weatherVar127^4),0.0519414579890147
target ~ I(weatherVar28^4) + geodemVar29,0.0344358420744854
target ~ I(var12^5),-0.0277463716433518
target ~ I(weatherVar23^4) + I(weatherVar236^2) + I(weatherVar191^4) + geodemVar4 + I(geodemVar32^3),0.0902462153216996
target ~ I(weatherVar191^2),0.0406151302884667
target ~ I(weatherVar69^5),0.00860115618666943
target ~ I(weatherVar119^3) + I(weatherVar72^2) + weatherVar47:weatherVar235 + I(geodemVar16^2),0.0747726944603969
target ~ I(var12^4) + I(weatherVar48^4) + I(weatherVar38^3) + weatherVar108,-0.0218409687163379
target ~ weatherVar10,0.0516219101173804
target ~ weatherVar48 + I(weatherVar135^4) + I(weatherVar127^3),0.0636116865091708
target ~ I(weatherVar218^3) + I(weatherVar130^4) + geodemVar20:weatherVar47,0.0252917991714137
target ~ I(weatherVar95^2) + I(weatherVar28^3) + weatherVar194 + I(geodemVar4^3),0.0610334940425786
target ~ I(weatherVar23^3) + I(weatherVar38^2) + I(weatherVar101^5),0.0396564095538084
target ~ I(var12^3),-0.0274374553989685
target ~ I(weatherVar32^5),0.00820703014441144
target ~ I(weatherVar175^5) + I(weatherVar38^4),0.0138934598096545
target ~ I(weatherVar69^4),0.00958455099511036
target ~ I(weatherVar150^2),0.0163172566242586
target ~ geodemVar13:weatherVar47 + I(weatherVar101^4) + var11:geodemVar37 + I(weatherVar78^4) + I(weatherVar61^2) + geodemVar17:weatherVar47 + I(weatherVar44^2),0.0892539883943314
target ~ I(weatherVar91^4) + I(weatherVar71^5) + I(geodemVar37^4),0.0386494002084237
target ~ I(weatherVar50^5),0.0122704642984761
target ~ weatherVar81,-0.00906322704479178
target ~ geodemVar26:weatherVar47 + I(weatherVar127^5) + I(weatherVar93^3),0.0575657416352451
target ~ I(weatherVar35^2),0.0220354458415521
target ~ I(var12^2) + I(weatherVar93^4) + I(weatherVar48^5) + weatherVar24 + weatherVar173,-0.0187443025703843
target ~ geodemVar8:weatherVar47,0.0209223800505339
target ~ I(weatherVar175^4),0.00237258227119465
target ~ I(weatherVar7^2),0.0171843527420585
target ~ I(weatherVar218^4),0.00434062375352924
target ~ I(weatherVar96^5) + I(weatherVar80^3) + I(weatherVar141^5) + I(weatherVar141^4) + geodemVar16,0.0856347605522975
target ~ I(weatherVar96^4) + I(weatherVar32^4),-0.00505163044517385
target ~ I(weatherVar90^2) + weatherVar203,0.0210951121560718
target ~ I(weatherVar69^3) + I(weatherVar79^2) + I(weatherVar38^5) + geodemVar30,0.0435925877022636
target ~ I(crimeVar7^5) + crimeVar5,0.00744255363135119
target ~ I(weatherVar78^3),0.00605618802612005
target ~ I(var14^5),-0.0457238970635145
target ~ I(weatherVar91^3) + I(var17^5) + weatherVar38,0.0889143152879651
target ~ I(weatherVar50^4),-0.0259273139220195
target ~ I(weatherVar34^5) + crimeVar4,-0.0166387631491282
target ~ I(crimeVar7^4),-0.0126844036168292
target ~ I(weatherVar86^2),0.0379126574730133
target ~ I(weatherVar80^2),0.0218177438495332
target ~ I(weatherVar133^3) + I(weatherVar197^2) + weatherVar1,0.0575839320100752
target ~ I(weatherVar218^2) + I(geodemVar4^4) + geodemVar11:weatherVar47 + weatherVar217,0.0342158456352113
target ~ I(weatherVar141^3) + I(weatherVar72^3),0.0117467490897795
target ~ var16:weatherVar235,-0.0581642305155299
target ~ I(geodemVar32^2) + I(weatherVar167^5) + weatherVar172 + weatherVar35 + I(weatherVar191^5),0.0827136499848088
target ~ weatherVar47:weatherVar227,0.0176929996420364
target ~ var13:weatherVar118,0.00186574231134406
target ~ I(weatherVar101^3) + I(weatherVar175^3),-0.00435991271455127
target ~ weatherVar79 + I(weatherVar28^2),0.0364523561154809
target ~ I(weatherVar23^2) + I(weatherVar69^2),0.0280006419681626
target ~ I(weatherVar32^3),0.00788151958111518
target ~ I(weatherVar80^4) + weatherVar191 + I(weatherVar34^4) + var8:var15 + weatherVar135,0.0851143107386516
target ~ I(weatherVar51^5),0.0162307295623922
target ~ I(weatherVar220^2) + weatherVar211,0.0101327330790748
target ~ var16:geodemVar8,-0.0392549733882121
target ~ I(weatherVar154^5) + I(geodemVar1^2) + I(weatherVar51^4),0.0270886557119423
target ~ I(weatherVar197^3),0.036591293031809
target ~ var12 + I(weatherVar218^5),-0.0248208744182294
target ~ weatherVar130,0.0449972025052061
target ~ I(crimeVar7^3),-0.0135820809897502
target ~ weatherVar70 + I(weatherVar96^3) + I(crimeVar5^2),0.00871466109449718
target ~ I(weatherVar51^3) + geodemVar1,0.0259458741726789
target ~ weatherVar44 + I(weatherVar118^4),0.0227098816086029
